,code,FloatPopu,month
712,31240,1609591.63,2020-06-01
713,31250,1886872.86,2020-06-01
714,31260,1273016.0,2020-06-01
715,31270,762930.69,2020-06-01
716,31280,344712.39,2020-06-01
717,31350,115757.95,2020-06-01
718,31370,597993.74,2020-06-01
719,31380,882508.75,2020-06-01
720,32000,1761597.86,2020-06-01
721,33000,883189.06,2020-06-01
722,34000,1406788.5,2020-06-01
723,35000,393852.06,2020-06-01
724,36000,233694.35,2020-06-01
725,37000,418726.98,2020-06-01
726,38000,227827.81,2020-06-01
727,39000,241072.11,2020-06-01
728,11010,21573366.75,2020-07-01
729,11020,22544252.31,2020-07-01
730,11030,16102877.49,2020-07-01
731,11040,17672628.1,2020-07-01
732,11050,19004045.62,2020-07-01
733,11060,17439545.77,2020-07-01
734,11070,15507010.08,2020-07-01
735,11080,19625258.42,2020-07-01
736,11090,13522607.41,2020-07-01
737,11100,12179653.74,2020-07-01
738,11110,22823504.36,2020-07-01
739,11120,19346809.47,2020-07-01
740,11130,18059079.95,2020-07-01
741,11140,26978524.57,2020-07-01
742,11150,17166181.82,2020-07-01
743,11160,25810418.68,2020-07-01
744,11170,18511198.02,2020-07-01
745,11180,11197000.71,2020-07-01
746,11190,27686915.29,2020-07-01
747,11200,17133149.13,2020-07-01
748,11210,20421379.88,2020-07-01
749,11220,35733531.43,2020-07-01
750,11230,55797993.51,2020-07-01
751,11240,39487837.18,2020-07-01
752,11250,24342521.33,2020-07-01
753,21000,357193.61,2020-07-01
754,22000,252425.52,2020-07-01
755,23010,918177.74,2020-07-01
756,23020,107175.55,2020-07-01
757,23030,751085.27,2020-07-01
758,23040,821741.87,2020-07-01
759,23050,1047836.73,2020-07-01
760,23060,1599201.39,2020-07-01
761,23070,1021225.04,2020-07-01
762,23080,1712148.55,2020-07-01
763,23310,286768.91,2020-07-01
764,23320,46738.04,2020-07-01
765,24000,151663.54,2020-07-01
766,25000,484405.14,2020-07-01
767,26000,86570.06999999999,2020-07-01
768,29000,226098.42,2020-07-01
769,31011,659077.45,2020-07-01
770,31012,639003.62,2020-07-01
771,31013,544990.94,2020-07-01
772,31014,1102167.25,2020-07-01
773,31021,2603152.71,2020-07-01
774,31022,1267175.88,2020-07-01
775,31023,4620039.22,2020-07-01
776,31030,3471137.55,2020-07-01
777,31041,1333326.16,2020-07-01
778,31042,1886793.04,2020-07-01
779,31050,5614572.84,2020-07-01
780,31060,3814026.93,2020-07-01
781,31070,582661.29,2020-07-01
782,31080,325915.97,2020-07-01
783,31091,675139.26,2020-07-01
784,31092,777352.34,2020-07-01
785,31101,5308685.01,2020-07-01
786,31103,2305341.3,2020-07-01
787,31104,1502499.41,2020-07-01
788,31110,1257175.61,2020-07-01
